,Id,EnterDate,ExitDate,EnterPrice,ExitPrice,ProfitPercent,PositionBudget,PNL
0,07b25c5b-8835-4c3b-b183-628d17ee8d8c,2022-03-11T14:27:34.294Z,2022-03-11T14:28:04.263Z,39413.5,39400.0,-0.03425222322300803,5000.0,-1.7126111611504014
1,944c47ec-8019-416d-848e-e8b6f7815137,2022-03-14T07:07:09.172Z,2022-03-14T22:48:54.550Z,38670.5,39448.5,2.011869512936215,4999.143694419425,100.5762478958976
2,7a213c40-9498-45c3-9979-7e3a0795ca80,2022-03-14T07:07:29.152Z,2022-03-16T02:05:33.030Z,368.06,375.6,2.048579036026732,4999.143694419425,105.15721189137753
3,71a18b60-e995-49a2-acf4-16b276cb8f44,2022-03-14T23:25:23.074Z,2022-03-15T01:21:57.254Z,2590.5,2538.65,-2.001544103454933,5049.431818367374,-101.06660481850938
4,0e568795-5d94-4f12-9845-46e80e891a5f,2022-03-15T02:28:33.737Z,2022-03-15T05:08:15.343Z,1.0807,1.0589,-2.017211066901081,4998.898515958119,-100.83833408706109
5,0cfcd98c-5e62-4c93-9053-53301f770418,2022-03-15T07:00:14.781Z,2022-03-15T12:50:01.412Z,66.806,68.148,2.008801604646293,4948.479348914589,99.40513256658669
6,06389b67-fdd2-45b5-84ba-9fda9598290b,2022-03-15T13:02:56.345Z,2022-03-15T15:27:16.279Z,67.684,69.136,2.1452632823119266,4998.181915197882,107.22416140989519
7,7e88dfbf-d839-4155-8c91-f6262a0f5308,2022-03-15T15:30:56.861Z,2022-03-15T19:06:12.295Z,2572.7,2650.0,3.0046254907295955,5051.793995902829,151.78749014004362
8,a2b864c4-77bb-4d04-8f6e-4579b3afc773,2022-03-15T19:06:17.729Z,2022-03-15T19:10:27.466Z,1.2191,1.2454,2.157329177261924,5127.687740972851,110.62110375489016
9,63edeeb2-aecc-474d-88a3-8e7c2b1ccf7e,2022-03-15T19:10:37.742Z,2022-03-15T19:20:57.104Z,1.2458,1.2206,-2.022796596564469,5182.998292850296,-104.84151306777031
10,86741f1a-27cf-4fe4-9ec5-abb062c6a144,2022-03-15T19:21:17.796Z,2022-03-15T19:54:09.579Z,1.2241,1.1995,-2.009639735315738,5130.577536316411,-103.10612482099783
11,ca57be5f-7960-4e0f-9e85-6c1f0fc8962b,2022-03-15T19:54:27.973Z,2022-03-16T00:14:56.362Z,1.2005,1.2261,2.1324448146605723,5079.024473905913,108.30739402914804
